movie,url,year,imdb,metascore,votes,certificate,runtime,genres,description,director,stars,revenue
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,2013,8.2,75,1341785,R,180 min,"Biography, Comedy, Crime            ","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","116,900,694"
Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/,2014,8.0,76,1140633,PG-13,121 min,"Action, Adventure, Comedy            ",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana","333,176,600"
Finding Nemo,https://www.imdb.com/title/tt0266543/,2003,8.2,90,1017487,G,100 min,"Animation, Adventure, Comedy            ","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",None,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe","380,843,261"
Up,https://www.imdb.com/title/tt1049413/,2009,8.3,88,1014228,PG,96 min,"Animation, Adventure, Comedy            ","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",None,"Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer","293,004,164"
Deadpool,https://www.imdb.com/title/tt1431045/,2016,8.0,65,997193,R,108 min,"Action, Adventure, Comedy            ","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein","363,070,709"
"Monsters, Inc.",https://www.imdb.com/title/tt0198781/,2001,8.1,79,883518,G,92 min,"Animation, Adventure, Comedy            ","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",None,"Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi","289,916,256"
Snatch,https://www.imdb.com/title/tt0208092/,2000,8.3,55,836899,R,102 min,"Comedy, Crime            ","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham, Vinnie Jones","30,328,156"
The Intouchables,https://www.imdb.com/title/tt1675434/,2011,8.5,57,832011,R,112 min,"Biography, Comedy, Drama            ","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",None,"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot","13,182,281"
Toy Story 3,https://www.imdb.com/title/tt0435761/,2010,8.3,92,813938,G,103 min,"Animation, Adventure, Comedy            ","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","415,004,880"
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,2014,8.1,88,781197,R,99 min,"Adventure, Comedy, Crime            ","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody","59,100,318"
The Hangover,https://www.imdb.com/title/tt1119646/,2009,7.7,73,767504,R,100 min,Comedy            ,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Todd Phillips,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms","277,322,503"
Parasite,https://www.imdb.com/title/tt6751668/,2019,8.5,96,743592,R,132 min,"Comedy, Drama, Thriller            ",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Cho, Choi Woo-sik","53,367,844"
Amélie,https://www.imdb.com/title/tt0211915/,2001,8.3,69,743523,R,122 min,"Comedy, Romance            ","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta","33,225,499"
How to Train Your Dragon,https://www.imdb.com/title/tt0892769/,2010,8.1,75,720228,PG,98 min,"Animation, Action, Adventure            ","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",None,"Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson","217,581,231"
Ratatouille,https://www.imdb.com/title/tt0382932/,2007,8.1,96,703727,G,111 min,"Animation, Adventure, Comedy            ",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,None,"Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm","206,445,654"
Thor: Ragnarok,https://www.imdb.com/title/tt3501632/,2017,7.9,74,699060,PG-13,130 min,"Action, Adventure, Comedy            ","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo","315,058,289"
Silver Linings Playbook,https://www.imdb.com/title/tt1045658/,2012,7.7,81,698733,R,122 min,"Comedy, Drama, Romance            ","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver","132,092,958"
Once Upon a Time... In Hollywood,https://www.imdb.com/title/tt7131622/,2019,7.6,83,688179,R,161 min,"Comedy, Drama            ",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch","142,502,728"
Inside Out,https://www.imdb.com/title/tt2096673/,2015,8.2,94,688090,PG,95 min,"Animation, Adventure, Comedy            ","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",None,"Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling","356,461,711"
Shrek,https://www.imdb.com/title/tt0126029/,2001,7.9,84,659842,PG,90 min,"Animation, Adventure, Comedy            ","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",None,"Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow","267,665,011"
Kingsman: The Secret Service,https://www.imdb.com/title/tt2802144/,2014,7.7,60,652533,R,129 min,"Action, Adventure, Comedy            ","A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",Matthew Vaughn,"Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine","128,261,724"
Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/,2017,7.6,67,650676,PG-13,136 min,"Action, Adventure, Comedy            ","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","389,813,101"
Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/,2014,7.7,87,618141,R,119 min,"Comedy, Drama            ","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",Alejandro G. Iñárritu,"Michael Keaton, Zach Galifianakis, Edward Norton, Andrea Riseborough","42,340,598"
Knives Out,https://www.imdb.com/title/tt8946378/,2019,7.9,82,590139,PG-13,130 min,"Comedy, Crime, Drama            ","A detective investigates the death of the patriarch of an eccentric, combative family.",Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis","165,359,751"
La La Land,https://www.imdb.com/title/tt3783958/,2016,8.0,94,565404,PG-13,128 min,"Comedy, Drama, Music            ","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons","151,101,803"
Superbad,https://www.imdb.com/title/tt0829482/,2007,7.6,76,563172,R,113 min,Comedy            ,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,Greg Mottola,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader","121,463,226"
Zombieland,https://www.imdb.com/title/tt1156398/,2009,7.6,73,561378,R,88 min,"Action, Comedy, Horror            ","A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.",Ruben Fleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin","75,590,286"
Deadpool 2,https://www.imdb.com/title/tt5463162/,2018,7.7,66,554024,R,119 min,"Action, Adventure, Comedy            ","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison","324,591,735"
Kick-Ass,https://www.imdb.com/title/tt1250777/,2010,7.6,66,553376,R,117 min,"Action, Comedy, Crime            ","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",Matthew Vaughn,"Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown","48,071,303"
Shaun of the Dead,https://www.imdb.com/title/tt0365748/,2004,7.9,76,546493,R,99 min,"Comedy, Horror            ","The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",Edgar Wright,"Simon Pegg, Nick Frost, Kate Ashfield, Lucy Davis","13,542,874"
Despicable Me,https://www.imdb.com/title/tt1323594/,2010,7.6,72,533183,PG,95 min,"Animation, Adventure, Comedy            ","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",None,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews","251,513,985"
Juno,https://www.imdb.com/title/tt0467406/,2007,7.5,81,514736,PG-13,96 min,"Comedy, Drama            ","Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding the unborn child.",Jason Reitman,"Elliot Page, Michael Cera, Jennifer Garner, Jason Bateman","143,495,265"
500 Days of Summer,https://www.imdb.com/title/tt1022603/,2009,7.7,76,503151,PG-13,95 min,"Comedy, Drama, Romance            ","After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",Marc Webb,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, Chloë Grace Moretz","32,391,374"
Hot Fuzz,https://www.imdb.com/title/tt0425112/,2007,7.8,81,496163,R,121 min,"Action, Comedy, Mystery            ","A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town.",Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy","23,637,265"
Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/,2018,8.4,87,490459,PG,117 min,"Animation, Action, Adventure            ","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",None,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","190,241,310"
"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/,2017,8.1,88,490218,R,115 min,"Comedy, Crime, Drama            ",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones","54,513,740"
Zootopia,https://www.imdb.com/title/tt2948356/,2016,8.0,78,481976,PG,108 min,"Animation, Adventure, Comedy            ","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",None,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","341,268,248"
Coco,https://www.imdb.com/title/tt2380307/,2017,8.4,81,477350,PG,105 min,"Animation, Adventure, Comedy            ","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",None,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach","209,726,015"
Love Actually,https://www.imdb.com/title/tt0314331/,2003,7.6,55,474570,R,135 min,"Comedy, Drama, Romance            ","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney","59,696,144"
Ice Age,https://www.imdb.com/title/tt0268380/,2002,7.5,61,473213,PG,81 min,"Animation, Adventure, Comedy            ","The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat.",None,"Denis Leary, John Leguizamo, Ray Romano, Goran Visnjic","176,387,405"
Little Miss Sunshine,https://www.imdb.com/title/tt0449059/,2006,7.8,80,470423,R,101 min,"Comedy, Drama            ",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,None,"Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin","59,891,098"
Green Book,https://www.imdb.com/title/tt6966692/,2018,8.2,69,464279,PG-13,130 min,"Biography, Comedy, Drama            ",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco","85,080,171"
Kung Fu Panda,https://www.imdb.com/title/tt0441773/,2008,7.6,74,456226,PG,92 min,"Animation, Action, Adventure            ","To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",None,"Jack Black, Ian McShane, Angelina Jolie, Dustin Hoffman","215,434,591"
