movie,url,year,imdb,metascore,votes,certificate,runtime,genres,description,director,stars,revenue
American Psycho,https://www.imdb.com/title/tt0144084/,2000,7.6,64,570054,R,102 min,"Crime, Drama, Horror            ","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Mary Harron,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage","15,070,285"
Zombieland,https://www.imdb.com/title/tt1156398/,2009,7.6,73,561723,R,88 min,"Action, Comedy, Horror            ","A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.",Ruben Fleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin","75,590,286"
Get Out,https://www.imdb.com/title/tt5052448/,2017,7.7,85,561669,R,104 min,"Horror, Mystery, Thriller            ","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener","176,040,665"
Shaun of the Dead,https://www.imdb.com/title/tt0365748/,2004,7.9,76,546680,R,99 min,"Comedy, Horror            ","The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",Edgar Wright,"Simon Pegg, Nick Frost, Kate Ashfield, Lucy Davis","13,542,874"
A Quiet Place,https://www.imdb.com/title/tt6644200/,2018,7.5,82,507273,PG-13,90 min,"Drama, Horror, Sci-Fi            ","In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe","188,024,361"
The Conjuring,https://www.imdb.com/title/tt1457767/,2013,7.5,68,491604,R,112 min,"Horror, Mystery, Thriller            ",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor","137,400,141"
Saw,https://www.imdb.com/title/tt0387564/,2004,7.6,46,410744,R,103 min,"Horror, Mystery, Thriller            ","Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",James Wan,"Cary Elwes, Leigh Whannell, Danny Glover, Ken Leung","56,000,369"
28 Days Later...,https://www.imdb.com/title/tt0289043/,2002,7.5,73,404841,R,113 min,"Drama, Horror, Sci-Fi            ","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",Danny Boyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer","45,064,915"
The Others,https://www.imdb.com/title/tt0230600/,2001,7.6,74,359349,PG-13,104 min,"Horror, Mystery, Thriller            ",A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan, Alakina Mann","96,522,687"
Let the Right One In,https://www.imdb.com/title/tt1139797/,2008,7.9,82,214704,R,114 min,"Drama, Fantasy, Horror            ","Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",Tomas Alfredson,"Kåre Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl","2,122,065"
Train to Busan,https://www.imdb.com/title/tt5700672/,2016,7.6,73,209161,Not Rated,118 min,"Action, Horror, Thriller            ","While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",Sang-ho Yeon,"Gong Yoo, Yu-mi Jung, Ma Dong-seok, Su-an Kim","2,129,768"
Grindhouse,https://www.imdb.com/title/tt0462322/,2007,7.5,77,183666,R,191 min,"Action, Horror, Thriller            ",Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the '60s and '70s with two back-to-back cult films that include previews of coming attractions between them.,None,"Kurt Russell, Rose McGowan, Danny Trejo, Zoë Bell","25,037,897"
What We Do in the Shadows,https://www.imdb.com/title/tt3416742/,2014,7.6,76,178340,R,86 min,"Comedy, Horror            ","Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts.",None,"Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, Jonny Brugh","3,333,000"
Tucker and Dale vs Evil,https://www.imdb.com/title/tt1465522/,2010,7.5,65,176518,R,89 min,"Comedy, Horror            ",Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students.,Eli Craig,"Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss","223,838"
