movie,url,year,imdb,metascore,votes,certificate,runtime,genres,description,director,stars,revenue
The Dark Knight,https://www.imdb.com/title/tt0468569/,2008,9.0,84,2557942,PG-13,152 min,"Action, Crime, Drama            ","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","534,858,444"
Inception,https://www.imdb.com/title/tt1375666/,2010,8.8,74,2270526,PG-13,148 min,"Action, Adventure, Sci-Fi            ","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe","292,576,195"
The Prestige,https://www.imdb.com/title/tt0482571/,2006,8.5,66,1294134,PG-13,130 min,"Drama, Mystery, Thriller            ","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine","53,089,891"
The Departed,https://www.imdb.com/title/tt0407887/,2006,8.5,85,1286265,R,151 min,"Crime, Drama, Thriller            ",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg","132,384,315"
Shutter Island,https://www.imdb.com/title/tt1130884/,2010,8.2,63,1258622,R,138 min,"Mystery, Thriller            ","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley","128,012,934"
Memento,https://www.imdb.com/title/tt0209144/,2000,8.4,80,1207458,R,113 min,"Mystery, Thriller            ",A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior","25,544,867"
Joker,https://www.imdb.com/title/tt7286456/,2019,8.4,59,1192410,R,122 min,"Crime, Drama, Thriller            ",A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy","335,451,311"
V for Vendetta,https://www.imdb.com/title/tt0434409/,2005,8.2,62,1099253,R,132 min,"Action, Drama, Sci-Fi            ","In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea","70,511,035"
Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/,2003,8.2,69,1084325,R,111 min,"Action, Crime, Drama            ","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen","70,099,045"
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,2015,8.1,90,969495,R,120 min,"Action, Adventure, Sci-Fi            ","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz","154,058,340"
Gone Girl,https://www.imdb.com/title/tt2267998/,2014,8.1,79,951726,R,149 min,"Drama, Mystery, Thriller            ","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry","167,767,189"
No Country for Old Men,https://www.imdb.com/title/tt0477348/,2007,8.2,92,941877,R,122 min,"Crime, Drama, Thriller            ",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,None,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson","74,283,625"
Captain America: The Winter Soldier,https://www.imdb.com/title/tt1843866/,2014,7.8,70,816895,PG-13,136 min,"Action, Adventure, Sci-Fi            ","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",None,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford","259,766,572"
Gravity,https://www.imdb.com/title/tt1454468/,2013,7.7,96,812028,PG-13,91 min,"Action, Drama, Sci-Fi            ",Two astronauts work together to survive after an accident leaves them stranded in space.,Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen","274,092,705"
Donnie Darko,https://www.imdb.com/title/tt0246578/,2001,8.0,88,784199,R,113 min,"Drama, Mystery, Sci-Fi            ","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Richard Kelly,"Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne","1,480,006"
Sin City,https://www.imdb.com/title/tt0401792/,2005,8.0,74,760472,R,124 min,"Crime, Thriller            ","An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",None,"Mickey Rourke, Clive Owen, Bruce Willis, Jessica Alba","74,103,820"
The Imitation Game,https://www.imdb.com/title/tt2084970/,2014,8.0,71,749365,PG-13,114 min,"Biography, Drama, Thriller            ","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech","91,125,683"
Black Swan,https://www.imdb.com/title/tt0947798/,2010,8.0,79,746399,R,108 min,"Drama, Thriller            ","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder","106,954,678"
Parasite,https://www.imdb.com/title/tt6751668/,2019,8.5,96,743592,R,132 min,"Comedy, Drama, Thriller            ",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Cho, Choi Woo-sik","53,367,844"
Kill Bill: Vol. 2,https://www.imdb.com/title/tt0378194/,2004,8.0,83,737349,R,137 min,"Action, Crime, Thriller            ","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Quentin Tarantino,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah","66,208,183"
